Time,normalized,interpolated,MGCplus_3,result,ModifiedMGCplus_3
1.77,0.04756439772182254,0.00075,0.00075,1,0.00075
1.775,0.047504397721822536,0.0006900000000000001,0.0006900000000000001,1,0.0006900000000000001
1.78,0.04746439772182254,0.00065,0.00065,1,0.00065
1.785,0.04738439772182254,0.00057,0.00057,1,0.00057
1.79,0.04746439772182254,0.00065,0.00065,1,0.00065
1.795,0.047594397721822536,0.00078,0.00078,1,0.00078
1.8,0.04751439772182254,0.0007,0.0007,1,0.0007
1.805,0.047364397721822535,0.00055,0.00055,1,0.00055
1.81,0.047454397721822535,0.00064,0.00064,1,0.00064
1.815,0.04767439772182254,0.00086,0.00086,1,0.00086
1.82,0.047774397721822535,0.00096,0.0009599999999999999,1,0.00096
1.825,0.047884397721822534,0.00107,0.00107,1,0.00107
1.83,0.047724397721822534,0.00091,0.00091,1,0.00091
1.835,0.047504397721822536,0.0006900000000000001,0.0006900000000000001,1,0.0006900000000000001
1.84,0.047524397721822535,0.0007099999999999999,0.0007099999999999999,1,0.0007099999999999999
1.845,0.04744439772182254,0.00063,0.00063,1,0.00063
1.85,0.047364397721822535,0.00055,0.00055,1,0.00055
1.855,0.04721439772182254,0.0004,0.0004,1,0.0004
1.86,0.04731439772182254,0.0005,0.0005,1,0.0005
1.865,0.04744439772182254,0.00063,0.00063,1,0.00063
1.87,0.04751439772182254,0.0007,0.0007,1,0.0007
1.875,0.04747439772182254,0.00066,0.00066,1,0.00066
1.88,0.04756439772182254,0.00075,0.00075,1,0.00075
1.885,0.047704397721822535,0.0008900000000000002,0.0008900000000000002,1,0.0008900000000000002
1.89,0.04767439772182254,0.00086,0.00086,1,0.00086
1.895,0.04751439772182254,0.0007,0.0007,1,0.0007
1.9,0.04742439772182254,0.00061,0.00061,1,0.00061
1.905,0.04746439772182254,0.00065,0.00065,1,0.00065
1.91,0.04751439772182254,0.0007,0.0007,1,0.0007
1.915,0.047844397721822536,0.00103,0.00103,1,0.00103
1.92,0.047934397721822536,0.00112,0.00112,1,0.00112
1.925,0.04781439772182254,0.001,0.001,1,0.001
1.93,0.04781439772182254,0.001,0.001,1,0.001
1.935,0.047934397721822536,0.00112,0.00112,1,0.00112
1.94,0.047974397721822534,0.00116,0.00116,1,0.00116
1.945,0.04819439772182254,0.0013800000000000002,0.0013800000000000002,1,0.0013800000000000002
1.95,0.04835439772182254,0.00154,0.0015400000000000001,1,0.00154
1.955,0.04830439772182254,0.00149,0.00149,1,0.00149
1.96,0.04866439772182254,0.00185,0.00185,1,0.00185
1.965,0.04901439772182254,0.0022,0.0022,1,0.0022
1.97,0.04887439772182254,0.00206,0.00206,1,0.00206
1.975,0.04869439772182254,0.00188,0.0018800000000000002,1,0.00188
1.98,0.04885439772182254,0.00204,0.0020399999999999997,1,0.00204
1.985,0.048724397721822535,0.00191,0.0019100000000000002,1,0.00191
1.99,0.04866439772182254,0.00185,0.00185,1,0.00185
1.995,0.048974397721822535,0.00216,0.00216,1,0.00216
2.0,0.04916439772182254,0.00235,0.00235,1,0.00235
2.005,0.04917439772182254,0.00236,0.00236,1,0.00236
2.01,0.049244397721822535,0.00243,0.00243,1,0.00243
2.015,0.04966439772182254,0.00285,0.00285,1,0.00285
